tif_name_comptroller_report,tif_num_ctu,designation_date,expiration_date,unallocated_funds_2025,surplus_2025,full_surplus_avg_method_25,full_surplus_poly_method_25,full_surplus_weighted_method_25
105th/Vincennes,T-111,10/3/2001,12/31/2025,1191848.0,297962.0,11591694.695919666,11883671.736383598,11652472.571314964
107th/Halsted,T-176,4/2/2014,12/31/2038,1507350.0,1130512.5,2505897.9481205763,2574204.1447708765,2520116.5507276244
111th/Kedzie,T-073,9/29/1999,12/31/2035,1616438.0,1212328.5,801576.0769689595,963662.2529830281,835315.8990913788
116th/Avenue O,T-182,10/31/2018,12/31/2042,3932044.0,3932044.0,-41950119.239504896,-41686007.12424146,-41895141.72070286
119th/Halsted,T-114,2/6/2002,12/31/2026,1551890.0,1163917.5,4048429.441368941,4201168.952987992,4080223.6639227793
119th/I-57,T-125,11/6/2002,12/31/2026,3881929.0,3881929.0,5970037.974897664,6358364.935158556,6050872.028033724
24th/Michigan,T-072,7/21/1999,12/31/2035,8276706.0,8276706.0,34358090.87394079,35200524.95661867,34533451.76404499
26th/King Drive,T-141,1/11/2006,12/31/2030,15302503.0,15302503.0,12573657.117878271,13226441.47931937,12709540.564455528
35th/Halsted,T-001,1/14/1997,12/31/2033,13549444.0,13549444.0,49339689.47168307,51780529.43195002,49847774.1715254
35th/State,T-131,1/14/2004,12/31/2028,3060435.0,3060435.0,-17621049.526581377,-17242263.16602544,-17542201.44254461
43rd/Cottage Grove,T-055,7/8/1998,12/31/2034,10777008.0,10777008.0,15771982.251713876,16531626.81214694,15930109.693396814
47th/Ashland,T-117,3/27/2002,12/31/2026,3731089.0,3731089.0,-4640948.669861406,-4144020.453853179,-4537508.203635134
47th/Halsted,T-121,5/29/2002,12/31/2026,4290370.0,4290370.0,18197972.93223919,18799399.410669584,18323165.733383395
47th/King Drive,T-118,3/27/2002,12/31/2026,32313385.0,32313385.0,62567572.641037226,64601547.32843116,62990964.35673922
47th/State,T-136,7/21/2004,12/31/2028,7857075.0,7857075.0,20719137.61652992,21229272.363724157,20825327.151332103
51st/Lake Park,T-175,11/15/2012,12/31/2036,343971.0,0.0,-8324599.07669504,-8157785.989184672,-8289875.301733486
53rd Street,T-105,1/10/2001,12/31/2025,4415614.0,4415614.0,28854112.342443265,29691475.784388386,29028417.729107406
63rd/Ashland,T-143,3/29/2006,12/31/2030,1900838.0,1425628.5,-1799500.685214037,-1728825.8292816272,-1784789.0230209576
63rd/Pulaski,T-098,5/17/2000,12/31/2036,4059181.0,4059181.0,535497.0059929602,892440.4431987293,609798.2719938438
67th/Cicero,T-124,10/2/2002,12/31/2026,811282.0,202820.5,-688445.5932364799,-629316.249693864,-676137.2423184467
67th/Wentworth,T-174,5/4/2011,12/31/2035,213081.0,0.0,984700.0,984700.0,984700.0
71st/Stony Island,T-060,10/7/1998,12/31/2034,1228460.0,307115.0,20750374.26569143,21376828.89788386,20880776.921721164
73rd/University,T-145,9/13/2006,12/31/2030,662313.0,0.0,1413323.43218432,1421457.6892855759,1415016.6573219812
79th Street Corridor,T-056,7/8/1998,12/31/2034,1409335.0,352333.75,-16585378.274552321,-16379854.795292975,-16542596.553108111
79th/Cicero,T-140,6/8/2005,12/31/2029,247115.0,0.0,-6255406.00317696,-6170757.219877427,-6237785.531390659
79th/Southwest Highway,T-112,10/3/2001,12/31/2025,11800000.0,11800000.0,14402914.9456768,14797022.449230243,14484952.27541089
79th/Vincennes,T-155,9/27/2007,12/31/2031,11795.0,0.0,2243129.85603456,2272856.683811358,2249317.7858513873
83rd/Stewart,T-133,3/31/2004,12/31/2028,202945.0,0.0,-21557665.2991744,-21395142.22613492,-21523834.532664955
87th/Cottage Grove,T-127,11/13/2002,12/31/2026,4671145.0,4671145.0,11788540.822536064,12063311.95508555,11845737.119990762
95th/Western,T-009,7/13/1995,12/31/2031,466514.0,0.0,8422828.310600875,8660994.113276295,8472404.850781662
Addison South,T-150,5/9/2007,12/31/2031,9666667.0,9666667.0,29943515.190756798,31119616.33159768,30188332.14100986
Archer/Western,T-163,2/11/2009,12/31/2033,13545377.0,13545377.0,19230942.513332736,19750637.156754665,19339122.033994064
Armitage/Pulaski,T-151,6/13/2007,12/31/2031,430137.0,0.0,-688275.6372945919,-641833.4655025457,-678608.2452086287
Austin Commercial,T-156,9/27/2007,12/31/2031,15759036.0,15759036.0,-6647326.1299805865,-6309617.647745356,-6577028.807901375
Avalon Park/South Shore,T-123,7/31/2002,12/31/2026,4285987.0,4285987.0,-10464303.3537536,-10346044.19678048,-10439686.554105777
Avondale,T-167,7/29/2009,12/31/2033,726857.0,0.0,497277.82067584014,551564.673690862,508578.15984945185
Belmont/Central,T-081,1/12/2000,12/31/2036,10453790.0,10453790.0,27838934.536084294,28808905.21827116,28040843.4161982
Bronzeville,T-061,11/4/1998,12/31/2034,10848974.0,10848974.0,48174837.02284339,49281821.68273239,48405266.701890536
Bryn Mawr/Broadway,T-013,12/11/1996,12/31/2032,12840614.0,12840614.0,10201076.564071497,10672832.764552366,10299277.229179366
Canal/Congress,T-063,11/12/1998,12/31/2034,41073061.0,41073061.0,217492209.02603483,225744919.25998124,219210091.34128574
Central West,T-086,2/16/2000,12/31/2036,28202138.0,28202138.0,129360292.67645031,135425508.8258459,130622826.71264637
