ward_id,tif_num,tif_coverage
1,T- 87,0.37043076364932676
1,T-108,0.3602262859386392
1,T- 52,0.017494657734936893
2,T-183,0.09160003690974745
2,T-180,0.04475503768515836
2,T- 30,0.17020519959955344
3,T-186,0.3111655091804752
3,T- 72,0.7699698408521164
3,T-131,0.8100539483756931
3,T-178,0.00013269542921740787
3,T-121,0.08577609190725188
3,T- 55,0.10863005472740177
3,T- 29,0.8616886171689557
3,T-136,0.8981089218261346
3,T-184,0.6018423074905099
3,T-141,0.15479852799024574
3,T-118,0.9937035510599816
3,T- 61,0.5367968073252313
4,T-186,0.12025837698866029
4,T- 72,0.1276271023492964
4,T-175,1.0000000000000002
4,T-119,0.9999999999999999
4,T- 55,0.8913699452725887
4,T- 29,0.1383113828310526
4,T-105,0.4609835539586438
4,T-184,0.0001820005198858888
4,T-141,0.8452014720097599
4,T-147,0.003241225419841824
4,T-118,0.0008847183202129595
4,T- 61,0.4632031926747708
4,T-126,0.9999999999999993
5,T- 65,0.12771484830989094
5,T- 60,0.4708204575160838
5,T-178,0.003503314651347128
5,T-171,0.002704152474033156
5,T-145,0.9980635866633221
5,T-174,0.0027091966403960557
5,T-105,0.5390164460413217
5,T-127,0.03239362692655668
6,T-133,0.2509316835073828
6,T- 56,0.028143129588155992
6,T- 65,0.0048843629987331315
6,T-155,0.22436745901569746
6,T-178,0.005992917234639095
6,T-171,0.09707690161095808
6,T-174,0.8913306826618249
6,T-127,0.3821533436930282
6,T-106,0.16168566642780066
7,T-166,0.0007727719105846869
7,T- 60,0.0549459605293206
7,T-103,0.05123040469528746
7,T- 93,0.07497942544274969
7,T-123,0.6638184575883861
7,T-128,0.4395593211176861
8,T-166,0.1379798140393851
8,T- 60,0.4358214373798121
8,T-103,0.01704487552448955
8,T-123,0.3361815424116033
8,T-145,0.0019364133366804868
8,T-127,0.5854530293803953
8,T-128,0.016044170844399998
8,T- 54,1.0000000000000042
9,T-176,0.2609240908633421
9,T-166,0.7348483936038567
9,T-103,0.08007994131832295
9,T-111,0.07366230027209596
9,T-113,0.9993359266233278
9,T-114,0.5511083580321005
10,T-166,0.12639902044616902
10,T-103,0.8516442442235731
10,T- 93,0.9250205745572136
10,T-169,0.9999999925556116
10,T-128,0.5443965080379259
10,T-182,1.0000000000000004
11,T-186,0.4061501084427736
11,T-  1,0.8675223707268397
11,T- 72,0.10240305679858033
11,T-131,0.18994605162431044
11,T- 45,0.7053562337538853
11,T-117,0.15825956377117775
11,T-121,0.0383030642489608
11,T-184,0.1519038253309633
11,T-163,0.21948429146828474
11,T- 53,0.18556253095217282
12,T-  1,0.13247762927316922
12,T-117,0.17687889686933667
12,T- 42,0.41523633209849947
12,T-163,0.7275947850686068
12,T- 53,0.29867231257804516
12,T-149,0.29957332986284413
13,T-124,0.04248750603162101
13,T- 98,0.41013226251856233
14,T- 98,0.005255293223318313
14,T-149,0.5939917711236721
15,T- 45,0.29464375915841057
15,T-117,0.35668570062006594
15,T-121,0.10286267822828549
15,T-143,0.40051534367218106
15,T-163,0.052920923463112016
15,T-149,0.05444280603004239
16,T-117,0.07778058367832125
16,T-121,0.11376493689980688
16,T- 21,0.8617663380310302
16,T-174,0.04505193841576676
16,T-143,0.5823991915671192
16,T-106,0.5945192451479734
17,T- 56,0.971856870357055
17,T-155,0.7624574984608764
17,T- 66,0.13351830119058936
17,T-112,0.025752836323559278
17,T-174,0.04054229928004387
17,T-143,0.017085464760694887
17,T-106,0.060617691706044266
18,T- 56,5.4783019418653965e-11
18,T- 66,0.8664816988094095
18,T-140,0.9999999999999992
18,T-112,0.9742152005651845
19,T-  9,0.9933301980117814
19,T- 73,0.9999983177964274
19,T-125,0.041536754278730395
19,T-112,1.7474481842055668e-05
19,T-111,0.06728092563553227
19,T-142,0.9954980928858056
20,T- 65,0.8674007886913696
20,T- 45,7.087677537433109e-09
20,T- 60,0.036902098980264794
20,T-178,0.9903710726848006
20,T-117,0.23039525506112024
20,T-121,0.6592932287156875
20,T- 21,0.13823366196897688
20,T-171,0.9002189459149627
20,T-136,0.101891078173865
20,T-174,0.020365883001990746
20,T-106,0.18317739671818692
20,T-118,0.005411730619808621
21,T-133,0.7490683164926197
21,T-176,0.7390759091366591
21,T-  9,0.006669114341493543
21,T-155,0.01317504252347096
21,T-125,0.9583493808941992
21,T-111,0.859056774092365
21,T-113,0.0006640733766816835
21,T-114,0.4482758985126864
22,T-161,0.21714123076959976
22,T-152,0.9999980043092731
22,T-164,0.07741117647908344
22,T- 42,0.2518950952944989
22,T-185,0.9996782488890976
22,T-149,0.051623256278808226
23,T-124,0.9575124586926024
23,T- 98,0.584612444258119
24,T-161,0.7764221707125515
24,T- 48,0.024412215107053853
24,T-164,0.20538102755862653
24,T- 42,0.003898748167273751
24,T-144,0.0007954413855381067
24,T- 95,0.4224337391300869
24,T- 38,0.7305501765585497
24,T- 24,1.0000000000000022
25,T-186,0.0015638555264947918
25,T-161,0.006436598517852986
25,T- 62,0.012681464566179013
25,T-152,1.7635586122064388e-06
25,T- 48,0.0662437780312994
25,T-164,0.717207795962246
25,T- 42,0.3289698244397374
25,T- 95,0.005295144097046345
25,T- 53,0.5151981479236205
25,T-149,0.00036883670464388436
26,T- 87,0.15116448041013367
26,T-151,0.7344523977365834
26,T-107,0.8245516179247808
26,T-108,0.621742619804803
26,T- 69,0.28076626536767485
26,T- 52,0.00014307994212058096
26,T- 81,0.0033408658093613225
26,T- 64,0.10708433745779408
27,T-183,0.00531783439109948
27,T-107,0.0377278834235629
27,T- 48,0.013688449080488902
27,T-180,0.009586461734231487
27,T- 23,0.999999999999999
27,T-115,0.5743238211701859
27,T- 30,0.8297948004004128
27,T- 95,0.10694799786262224
27,T- 52,0.9430798165496845
27,T- 86,0.8183084182249629
27,T-104,0.5907564059914667
28,T-186,0.0383090620237764
28,T- 63,0.2966743859785463
28,T- 75,0.49800615011398397
28,T- 62,0.9766490516512306
28,T- 48,0.895655557781159
28,T-115,0.14507562211645803
28,T-144,0.006677691426080501
28,T- 95,0.4357689505399266
28,T- 52,0.001769732703669647
28,T-184,0.09305108913388589
28,T- 53,0.0005670085461594379
28,T- 86,0.0110842587715761
